[19:53:47.000][I][app:206]: ESPHome version 2026.1.4 compiled on 2026-03-21 19:45:27 +0100
[19:53:47.041][I][app:213]: ESP32 Chip: ESP32 r3.1, 2 core(s)
[19:55:11.478][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:11.700][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:12.511][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:12.667][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
[19:55:12.683][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
[19:55:12.741][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:13.657][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:13.746][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:14.157][I][mspa:118]: [CLAV->SPA] A5 02 00 A7 [Filtration OFF]
[19:55:14.560][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:14.864][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:15.585][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:15.707][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:55:15.798][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:16.664][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:16.834][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:17.555][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:17.786][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:18.646][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:18.647][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:55:18.822][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:19.596][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:20.035][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:20.707][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:20.853][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:21.622][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:21.755][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
[19:55:21.755][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
[19:55:21.844][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:22.984][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:23.327][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:23.368][I][mspa:118]: [CLAV->SPA] A5 02 00 A7 [Filtration OFF]
[19:55:23.844][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:24.221][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:24.871][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:55:25.068][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:25.068][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:25.773][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:25.985][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:26.709][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:26.915][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:27.620][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:55:27.883][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:28.053][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:28.783][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:29.106][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:29.734][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:29.988][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:30.698][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
[19:55:30.700][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
[19:55:30.761][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:31.060][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
